"","name1","name2","hours"
"1","Joe","Ronald",1
"2","Joe","Michael",3
"3","Joe","Troy",2
"4","Erin","Kelley",3
"5","Kelley","Valentine",5
"6","Ronald","Troy",1
"7","Ronald","Perry",3
"8","Ronald","Jasmine",5
"9","Michael","Troy",2
"10","Michael","Jasmine",1
"11","Michael","Juan",3
"12","Valentine","Perry",5
"13","Troy","Jasmine",3
"14","Troy","Juan",2
"15","Jasmine","Juan",6
"16","Jasmine","Carey",1
"17","Juan","Demetrius",2
"18","Carey","Frankie",2
"19","Frankie","Micheal",1
"20","Frankie","Merle",1
"21","Micheal","Merle",2
"22","Micheal","Alex",1
"23","Keith","Gregory",1
"24","Keith","Marion",3
"25","Gregory","Marion",2
